v0	121772	26	SUCCESS	E0=-5.328425000000003	overlapp=0.14895372459267744
v1	95058	24	SUCCESS	E0=-3.823242500000001	overlapp=0.054184468113413556
v2	213882	26	SUCCESS	E0=-1.1434250000000006	overlapp=0.0002846619097204966
v3	122372	26	SUCCESS	E0=-0.7128425000000007	overlapp=0.022243185277081166
v4	206702	27	SUCCESS	E0=-6.743665	overlapp=0.14895372459267814
v5	177296	26	SUCCESS	E0=-4.336045	overlapp=0.0019739910630146287
v6	142946	26	SUCCESS	E0=-7.341330000000001	overlapp=0.0007594264177822323
v7	119658	26	SUCCESS	E0=-4.3526925	overlapp=0.02077462495819535
v8	203974	27	SUCCESS	E0=-2.1280824999999997	overlapp=0.022243185277081256
v9	205396	27	SUCCESS	E0=-6.743665	overlapp=0.14895372459267792
v10	132110	27	SUCCESS	E0=-4.3526925	overlapp=0.020774624958195584
v11	182372	26	SUCCESS	E0=-4.336045	overlapp=0.0019739910630145545
v12	142790	26	SUCCESS	E0=-7.341330000000001	overlapp=0.0007594264177822877
v13	207538	27	SUCCESS	E0=-2.1280824999999997	overlapp=0.022243185277081273
v14	119224	26	SUCCESS	E0=-5.328425000000003	overlapp=0.14895372459267872
v15	213334	26	SUCCESS	E0=-1.1434250000000006	overlapp=0.0002846619097204918
v16	95058	24	SUCCESS	E0=-3.823242500000001	overlapp=0.054184468113414035
v17	121772	26	SUCCESS	E0=-0.7128425000000007	overlapp=0.022243185277081374
v18	98540	24	SUCCESS	E0=-4.070762500000005	overlapp=0.029403342511836864
v19	215740	26	SUCCESS	E0=-2.1103375000000018	overlapp=0.02224318527708135
v20	118390	25	SUCCESS	E0=-2.1103375000000018	overlapp=0.02224318527708123
v21	172914	25	SUCCESS	E0=-2.903050000000002	overlapp=0.0024286659824507206
v22	97288	24	SUCCESS	E0=-0.9741250000000008	overlapp=0.0033106287499047177
v23	100006	24	SUCCESS	E0=-4.070762500000002	overlapp=0.02940334251183629
v24	178782	27	SUCCESS	E0=-2.903050000000002	overlapp=0.0024286659824507384
v25	214462	26	SUCCESS	E0=-2.1103375000000018	overlapp=0.022243185277081183
v26	117742	25	SUCCESS	E0=-2.1103375000000018	overlapp=0.02224318527708135
v27	98778	24	SUCCESS	E0=-0.974124999999999	overlapp=0.003310628749904623
